,year,state,treatment,patient,cost,treatment_category
69,2018,Others,level 3 upper gi procedures,427.0,297520.35114960326,Other Diseases
70,2018,Others,level 3 urology and related services,2378.0,511252.89373751724,Other Diseases
71,2018,Others,level 4 airway endoscopy,1068.0,395528.9402954472,Respiratory
72,2018,Others,level 4 breast/lymphatic surgery and related procedures,14.0,69170.9935714286,Other Diseases
73,2018,Others,level 4 ent procedures,136.0,93825.01526730308,Other Diseases
74,2018,Others,level 4 endovascular procedures,849.0,1791424.3186669566,Other Diseases
75,2018,Others,"level 4 extraocular, repair, and plastic eye procedures",93.0,9118.173,Other Diseases
76,2018,Others,level 4 gynecologic procedures,562.0,310033.24243386614,Other Diseases
77,2018,Others,level 4 musculoskeletal procedures,5372.0,1447180.0642277722,Other Diseases
78,2018,Others,level 4 neurostimulator and related procedures,295.0,1953178.3995451783,Other Diseases
79,2018,Others,level 4 pacemaker and similar procedures,97.0,601263.7432169908,Respiratory
80,2018,Others,level 4 urology and related services,1543.0,529542.784081653,Other Diseases
81,2018,Others,level 5 airway endoscopy,350.0,419555.0476377567,Respiratory
82,2018,Others,level 5 ent procedures,828.0,593522.4906157432,Other Diseases
83,2018,Others,level 5 gynecologic procedures,384.0,364801.59034907265,Other Diseases
84,2018,Others,level 5 musculoskeletal procedures,2647.0,1744714.869602,Other Diseases
85,2018,Others,level 5 urology and related services,3442.0,970559.0941079995,Other Diseases
86,2018,Others,level 6 gynecologic procedures,120.0,145763.2786618083,Other Diseases
87,2018,Others,level 6 musculoskeletal procedures,47.0,134245.4551724137,Other Diseases
88,2018,Others,level 6 urology and related services,170.0,288455.4488970587,Other Diseases
89,2018,Others,level 7 radiation therapy,60.0,57306.217076923,Other Diseases
90,2018,Others,level 7 urology and related services,210.0,428037.0067269241,Other Diseases
91,2018,Others,abdominal/peritoneal/biliary and related procedures,1159.0,390803.3080542115,Other Diseases
92,2018,Others,cochlear implant procedure,14.0,99946.2728571428,Other Diseases
93,2018,Others,complex gi procedures,192.0,71256.0873463361,Other Diseases
94,2018,Others,comprehensive observation services,18345.0,481208.84835387627,Other Diseases
95,2018,Others,implantation wireless pa pressure monitor,30.0,90605.7346666666,Other Diseases
96,2018,Others,implantation of drug infusion device,182.0,205833.1650567021,Other Diseases
97,2018,Others,level 1 breast/lymphatic surgery and related procedures,463.0,216691.85550168302,Other Diseases
98,2018,Others,level 1 endovascular procedures,10004.0,477516.6923600041,Other Diseases
99,2018,Others,level 1 icd and similar procedures,169.0,626560.5634313324,Respiratory
100,2018,Others,level 1 intraocular procedures,2522.0,102865.90293873954,Other Diseases
101,2018,Others,level 1 laparoscopy and related services,2870.0,650301.1849153539,Other Diseases
102,2018,Others,level 1 nerve procedures,2571.0,208521.59813951628,Other Diseases
103,2018,Others,level 2 breast/lymphatic surgery and related procedures,652.0,395509.8190139747,Other Diseases
104,2018,Others,level 2 electrophysiologic procedures,216.0,85871.3877660498,Respiratory
105,2018,Others,level 2 endovascular procedures,1330.0,633644.8339738126,Other Diseases
106,2018,Others,level 2 excision/ biopsy/ incision and drainage,6152.0,254602.7782160113,Other Diseases
107,2018,Others,level 2 icd and similar procedures,661.0,1655669.9708439722,Respiratory
108,2018,Others,level 2 intraocular procedures,1076.0,57582.0511721329,Other Diseases
109,2018,Others,level 2 laparoscopy and related services,1008.0,620773.4431996574,Other Diseases
110,2018,Others,level 2 musculoskeletal procedures,1445.0,222376.27416597668,Other Diseases
111,2018,Others,level 2 nerve procedures,34.0,36830.7414335664,Other Diseases
112,2018,Others,level 2 neurostimulator and related procedures,170.0,83377.37831009837,Other Diseases
113,2018,Others,level 2 pacemaker and similar procedures,325.0,426639.9018922108,Respiratory
114,2018,Others,level 2 upper gi procedures,1835.0,197854.13154051953,Other Diseases
115,2018,Others,level 3 airway endoscopy,440.0,104790.83538989384,Other Diseases
116,2018,Others,level 3 breast/lymphatic surgery and related procedures,12.0,28676.4808333333,Other Diseases
117,2018,Others,level 3 electrophysiologic procedures,825.0,704272.3296561467,Respiratory
118,2018,Others,level 3 endovascular procedures,4829.0,1315764.4023955748,Other Diseases
119,2018,Others,level 3 excision/ biopsy/ incision and drainage,746.0,280355.2722117283,Other Diseases
120,2018,Others,"level 3 extraocular, repair, and plastic eye procedures",451.0,48485.92232565533,Other Diseases
121,2018,Others,level 3 lower gi procedures,268.0,158474.487882354,Other Diseases
122,2018,Others,level 3 musculoskeletal procedures,2961.0,436466.7898580869,Other Diseases
123,2018,Others,level 3 neurostimulator and related procedures,169.0,575393.4888206412,Other Diseases
124,2018,Others,level 3 pacemaker and similar procedures,1316.0,889825.9731943816,Respiratory
125,2018,Others,level 3 upper gi procedures,223.0,83508.61272222192,Other Diseases
126,2018,Others,level 3 urology and related services,1871.0,236225.5011410833,Other Diseases
127,2018,Others,level 4 airway endoscopy,852.0,205933.83109655994,Respiratory
128,2018,Others,level 4 breast/lymphatic surgery and related procedures,16.0,32271.9037499999,Other Diseases
129,2018,Others,level 4 ent procedures,77.0,30047.53365079357,Other Diseases
130,2018,Others,level 4 endovascular procedures,909.0,1486062.1653604475,Other Diseases
131,2018,Others,"level 4 extraocular, repair, and plastic eye procedures",80.0,37138.156152460884,Other Diseases
132,2018,Others,level 4 gynecologic procedures,462.0,200647.03440378731,Other Diseases
133,2018,Others,level 4 musculoskeletal procedures,4176.0,727219.4563331322,Other Diseases
134,2018,Others,level 4 neurostimulator and related procedures,291.0,615679.601326931,Other Diseases
135,2018,Others,level 4 pacemaker and similar procedures,108.0,318532.4912192152,Respiratory
136,2018,Others,level 4 urology and related services,1519.0,296871.1130145885,Other Diseases
137,2018,Others,level 5 airway endoscopy,197.0,205349.9111212795,Respiratory
138,2018,Others,level 5 ent procedures,492.0,246031.6241131358,Other Diseases
139,2018,Others,level 5 gynecologic procedures,351.0,231367.73887915548,Other Diseases
140,2018,Others,level 5 musculoskeletal procedures,1589.0,758153.9233820162,Other Diseases
141,2018,Others,level 5 urology and related services,2642.0,406269.04303014535,Other Diseases
142,2018,Others,level 6 gynecologic procedures,55.0,139314.60118181788,Other Diseases
143,2018,Others,level 6 musculoskeletal procedures,18.0,32094.4988888888,Other Diseases
144,2018,Others,level 6 urology and related services,67.0,104313.4356442829,Other Diseases
145,2018,Others,level 7 radiation therapy,24.0,46830.0137037036,Other Diseases
146,2018,Others,level 7 urology and related services,73.0,259767.03980952367,Other Diseases
147,2018,Others,abdominal/peritoneal/biliary and related procedures,2146.0,968984.7750462925,Other Diseases
148,2018,Others,cochlear implant procedure,91.0,359169.4818161089,Other Diseases
149,2018,Others,complex gi procedures,430.0,314140.4372838554,Other Diseases
150,2018,Others,comprehensive observation services,34561.0,1059482.045888604,Other Diseases
151,2018,Others,implantation wireless pa pressure monitor,51.0,465778.091233765,Other Diseases
152,2018,Others,implantation of drug infusion device,52.0,146342.7873983738,Other Diseases
153,2018,Others,level 1 breast/lymphatic surgery and related procedures,1180.0,742968.5641299259,Other Diseases
154,2018,Others,level 1 endovascular procedures,7476.0,1171719.378115365,Other Diseases
155,2018,Others,level 1 icd and similar procedures,45.0,178811.288181818,Respiratory
156,2018,Others,level 1 intraocular procedures,847.0,130752.31021012226,Other Diseases
157,2018,Others,level 1 laparoscopy and related services,4368.0,1731567.5950576994,Other Diseases
158,2018,Others,level 1 nerve procedures,1748.0,415496.88203132624,Other Diseases
159,2018,Others,level 2 breast/lymphatic surgery and related procedures,1442.0,1332676.513790591,Other Diseases
160,2018,Others,level 2 electrophysiologic procedures,222.0,351169.5289560801,Respiratory
161,2018,Others,level 2 endovascular procedures,1412.0,1358995.9522369872,Other Diseases
162,2018,Others,level 2 excision/ biopsy/ incision and drainage,7886.0,509234.62964905996,Other Diseases
163,2018,Others,level 2 icd and similar procedures,764.0,3415774.5512617882,Respiratory
164,2018,Others,level 2 intraocular procedures,475.0,62988.207388525596,Other Diseases
165,2018,Others,level 2 laparoscopy and related services,1606.0,1781960.3126928813,Other Diseases
166,2018,Others,level 2 musculoskeletal procedures,2268.0,565301.4552476092,Other Diseases
167,2018,Others,level 2 nerve procedures,23.0,38483.6017391304,Other Diseases
168,2018,Others,level 2 neurostimulator and related procedures,76.0,60736.7701438183,Other Diseases
169,2018,Others,level 2 pacemaker and similar procedures,835.0,1015789.5594616417,Respiratory
170,2018,Others,level 2 upper gi procedures,3146.0,462326.62934985675,Other Diseases
171,2018,Others,level 3 airway endoscopy,1230.0,366820.1615473829,Other Diseases
172,2018,Others,level 3 breast/lymphatic surgery and related procedures,36.0,91108.721891892,Other Diseases
173,2018,Others,level 3 electrophysiologic procedures,1928.0,2620812.9563886286,Respiratory
174,2018,Others,level 3 endovascular procedures,3957.0,3033162.2658457807,Other Diseases
175,2018,Others,level 3 excision/ biopsy/ incision and drainage,1084.0,709356.9036780011,Other Diseases
176,2018,Others,"level 3 extraocular, repair, and plastic eye procedures",145.0,110980.77644886929,Other Diseases
177,2018,Others,level 3 lower gi procedures,277.0,249936.5605181653,Other Diseases
178,2018,Others,level 3 musculoskeletal procedures,3435.0,1103255.740803359,Other Diseases
179,2018,Others,level 3 neurostimulator and related procedures,163.0,559060.6140008885,Other Diseases
180,2018,Others,level 3 pacemaker and similar procedures,1518.0,1961073.6301549296,Respiratory
181,2018,Others,level 3 upper gi procedures,510.0,336931.49306614243,Other Diseases
182,2018,Others,level 3 urology and related services,2401.0,595709.2378429123,Other Diseases
183,2018,Others,level 4 airway endoscopy,1239.0,460450.9201076188,Respiratory
184,2018,Others,level 4 breast/lymphatic surgery and related procedures,17.0,136639.688235294,Other Diseases
185,2018,Others,level 4 ent procedures,102.0,95807.7288961037,Other Diseases
186,2018,Others,level 4 endovascular procedures,818.0,2274625.4132046737,Other Diseases
187,2018,Others,"level 4 extraocular, repair, and plastic eye procedures",92.0,52272.7979189485,Other Diseases
188,2018,Others,level 4 gynecologic procedures,585.0,362067.8932406745,Other Diseases
189,2018,Others,level 4 musculoskeletal procedures,4825.0,2095132.897705383,Other Diseases
190,2018,Others,level 4 neurostimulator and related procedures,454.0,2244922.4895545384,Other Diseases
191,2018,Others,level 4 pacemaker and similar procedures,129.0,480870.8446180548,Respiratory
192,2018,Others,level 4 urology and related services,2143.0,806794.294995317,Other Diseases
193,2018,Others,level 5 airway endoscopy,279.0,407889.9531625313,Respiratory
194,2018,Others,level 5 ent procedures,789.0,769842.212756109,Other Diseases
195,2018,Others,level 5 gynecologic procedures,636.0,611172.8772411457,Other Diseases
196,2018,Others,level 5 musculoskeletal procedures,2648.0,2844586.1067496086,Other Diseases
197,2018,Others,level 5 urology and related services,5181.0,1272487.4356219661,Other Diseases
198,2018,Others,level 6 gynecologic procedures,271.0,400737.3956118757,Other Diseases
199,2018,Others,level 6 urology and related services,343.0,623927.810142395,Other Diseases
200,2018,Others,level 7 radiation therapy,105.0,133760.1285794651,Other Diseases
201,2018,Others,level 7 urology and related services,218.0,898377.8849700758,Other Diseases
202,2018,CA,abdominal/peritoneal/biliary and related procedures,6639.0,4646728.509330848,Other Diseases
203,2018,CA,cochlear implant procedure,151.0,778986.206851618,Other Diseases
204,2018,CA,complex gi procedures,1395.0,1362372.7789955419,Other Diseases
205,2018,CA,comprehensive observation services,79869.0,6789190.064703672,Other Diseases
206,2018,CA,implantation wireless pa pressure monitor,61.0,643819.055266023,Other Diseases
207,2018,CA,implantation of drug infusion device,149.0,570329.6158194782,Other Diseases
208,2018,CA,level 1 breast/lymphatic surgery and related procedures,3450.0,2621501.6436663023,Other Diseases
209,2018,CA,level 1 endovascular procedures,23267.0,4954034.892592656,Other Diseases
210,2018,CA,level 1 icd and similar procedures,285.0,2549167.3275049073,Respiratory
211,2018,CA,level 1 intraocular procedures,23913.0,2315225.603890607,Other Diseases
212,2018,CA,level 1 laparoscopy and related services,12445.0,8157464.190195305,Other Diseases
213,2018,CA,level 1 nerve procedures,5322.0,1416368.1622731844,Other Diseases
214,2018,CA,level 2 breast/lymphatic surgery and related procedures,4657.0,5704775.611536517,Other Diseases
215,2018,CA,level 2 electrophysiologic procedures,237.0,801508.2584877028,Respiratory
216,2018,CA,level 2 endovascular procedures,7086.0,5733058.653383845,Other Diseases
217,2018,CA,level 2 excision/ biopsy/ incision and drainage,27874.0,2454702.223401783,Other Diseases
218,2018,CA,level 2 icd and similar procedures,2098.0,12889172.56435716,Respiratory
219,2018,CA,level 2 intraocular procedures,6330.0,2347732.755747195,Other Diseases
220,2018,CA,level 2 laparoscopy and related services,3690.0,6486253.232449133,Other Diseases
221,2018,CA,level 2 musculoskeletal procedures,5463.0,2300731.3383155596,Other Diseases
222,2018,CA,level 2 nerve procedures,47.0,184177.6547504455,Other Diseases
223,2018,CA,level 2 neurostimulator and related procedures,463.0,798161.7425169856,Other Diseases
224,2018,CA,level 2 pacemaker and similar procedures,2523.0,3550780.7316727852,Respiratory
225,2018,CA,level 2 upper gi procedures,13360.0,2210021.090985326,Other Diseases
226,2018,CA,level 3 airway endoscopy,3173.0,1076424.2953668472,Other Diseases
227,2018,CA,level 3 breast/lymphatic surgery and related procedures,73.0,412131.0420606056,Other Diseases
228,2018,CA,level 3 electrophysiologic procedures,6123.0,10491630.41079062,Respiratory
229,2018,CA,level 3 endovascular procedures,12828.0,11054209.272194315,Other Diseases
230,2018,CA,level 3 excision/ biopsy/ incision and drainage,3421.0,2648885.174876623,Other Diseases
231,2018,CA,"level 3 extraocular, repair, and plastic eye procedures",3296.0,1026639.6481148115,Other Diseases
232,2018,CA,level 3 lower gi procedures,1033.0,1052083.9137905408,Other Diseases
233,2018,CA,level 3 musculoskeletal procedures,8933.0,5129446.538096123,Other Diseases
234,2018,CA,level 3 neurostimulator and related procedures,366.0,1298726.812015918,Other Diseases
235,2018,CA,level 3 pacemaker and similar procedures,5872.0,8064879.693876972,Respiratory
236,2018,CA,level 3 upper gi procedures,1916.0,1531059.789755917,Other Diseases
237,2018,CA,level 3 urology and related services,9503.0,2384459.7396840765,Other Diseases
238,2018,CA,level 4 airway endoscopy,3331.0,1716097.1905596752,Respiratory
239,2018,CA,level 4 breast/lymphatic surgery and related procedures,61.0,661745.97150849,Other Diseases
240,2018,CA,level 4 ent procedures,558.0,478928.41924867727,Other Diseases
241,2018,CA,level 4 endovascular procedures,2356.0,8228462.181273506,Other Diseases
242,2018,CA,"level 4 extraocular, repair, and plastic eye procedures",473.0,378695.2186299353,Other Diseases
243,2018,CA,level 4 gynecologic procedures,2600.0,2392442.901080614,Other Diseases
244,2018,CA,level 4 musculoskeletal procedures,12214.0,9359500.611479009,Other Diseases
245,2018,CA,level 4 neurostimulator and related procedures,932.0,4423143.865908974,Other Diseases
246,2018,CA,level 4 pacemaker and similar procedures,226.0,1656703.6884315992,Respiratory
247,2018,CA,level 4 urology and related services,5428.0,3722727.118727557,Other Diseases
248,2018,CA,level 5 airway endoscopy,1270.0,2026936.9474547405,Respiratory
249,2018,CA,level 5 ent procedures,2991.0,2885137.063905565,Other Diseases
250,2018,CA,level 5 gynecologic procedures,1468.0,2477331.3710218384,Other Diseases
251,2018,CA,level 5 musculoskeletal procedures,6833.0,9888282.879031977,Other Diseases
252,2018,CA,level 5 urology and related services,11290.0,5899247.552369158,Other Diseases
253,2018,CA,level 6 gynecologic procedures,357.0,793496.1088180245,Other Diseases
254,2018,CA,level 6 musculoskeletal procedures,108.0,623409.2241394817,Other Diseases
255,2018,CA,level 6 urology and related services,763.0,1354944.0910499839,Other Diseases
256,2018,CA,level 7 radiation therapy,735.0,1123977.6928801285,Other Diseases
257,2018,CA,level 7 urology and related services,517.0,1605440.8612204096,Other Diseases
258,2018,Others,abdominal/peritoneal/biliary and related procedures,1325.0,707813.1704825697,Other Diseases
259,2018,Others,cochlear implant procedure,151.0,669434.400258402,Other Diseases
260,2018,Others,complex gi procedures,269.0,183680.566499907,Other Diseases
261,2018,Others,comprehensive observation services,17221.0,1027043.5323137267,Other Diseases
262,2018,Others,implantation wireless pa pressure monitor,19.0,137118.210526315,Other Diseases
263,2018,Others,implantation of drug infusion device,13.0,66491.0315384615,Other Diseases
264,2018,Others,level 1 breast/lymphatic surgery and related procedures,548.0,471280.7493060588,Other Diseases
265,2018,Others,level 1 endovascular procedures,3412.0,774576.4049977878,Other Diseases
266,2018,Others,level 1 icd and similar procedures,28.0,252438.78358288668,Respiratory
267,2018,Others,level 1 intraocular procedures,2827.0,127255.42057685863,Other Diseases
268,2018,Others,level 1 laparoscopy and related services,2614.0,1429092.985236594,Other Diseases
269,2018,Others,level 1 nerve procedures,1338.0,263006.733327739,Other Diseases
270,2018,Others,level 2 breast/lymphatic surgery and related procedures,768.0,1019059.6452520861,Other Diseases
271,2018,Others,level 2 electrophysiologic procedures,69.0,145494.4457456139,Respiratory
272,2018,Others,level 2 endovascular procedures,1150.0,1013134.1731275291,Other Diseases
273,2018,Others,level 2 excision/ biopsy/ incision and drainage,5722.0,465441.9294169018,Other Diseases
274,2018,Others,level 2 icd and similar procedures,279.0,1824568.5326364061,Respiratory
275,2018,Others,level 2 intraocular procedures,919.0,99641.5389462806,Other Diseases
276,2018,Others,level 2 laparoscopy and related services,1033.0,1437639.390460839,Other Diseases
277,2018,Others,level 2 musculoskeletal procedures,1345.0,483650.091638377,Other Diseases
278,2018,Others,level 2 neurostimulator and related procedures,105.0,152682.9125793648,Other Diseases
279,2018,Others,level 2 pacemaker and similar procedures,542.0,714265.8261833976,Respiratory
280,2018,Others,level 2 upper gi procedures,2484.0,364951.8339262004,Other Diseases
281,2018,Others,level 3 airway endoscopy,521.0,187137.0804976633,Other Diseases
282,2018,Others,level 3 breast/lymphatic surgery and related procedures,12.0,45107.5991666666,Other Diseases
283,2018,Others,level 3 electrophysiologic procedures,1080.0,1952015.546874591,Respiratory
284,2018,Others,level 3 endovascular procedures,1906.0,2202576.092641447,Other Diseases
285,2018,Others,level 3 excision/ biopsy/ incision and drainage,726.0,485525.4221896573,Other Diseases
286,2018,Others,"level 3 extraocular, repair, and plastic eye procedures",311.0,70291.28949440137,Other Diseases
287,2018,Others,level 3 lower gi procedures,110.0,79571.52435330393,Other Diseases
288,2018,Others,level 3 musculoskeletal procedures,2141.0,893836.9492325891,Other Diseases
289,2018,Others,level 3 neurostimulator and related procedures,142.0,664643.128499245,Other Diseases
290,2018,Others,level 3 pacemaker and similar procedures,708.0,1067755.8449132163,Respiratory
291,2018,Others,level 3 upper gi procedures,408.0,287369.3059082283,Other Diseases
292,2018,Others,level 3 urology and related services,1486.0,362782.8205785058,Other Diseases
293,2018,Others,level 4 airway endoscopy,983.0,398085.6820785452,Respiratory
294,2018,Others,level 4 breast/lymphatic surgery and related procedures,11.0,59843.7499999999,Other Diseases
295,2018,Others,level 4 ent procedures,41.0,38753.3208061001,Other Diseases
296,2018,Others,level 4 endovascular procedures,371.0,1495999.195486918,Other Diseases
297,2018,Others,"level 4 extraocular, repair, and plastic eye procedures",50.0,55018.339624999906,Other Diseases
298,2018,Others,level 4 gynecologic procedures,443.0,352599.9813870119,Other Diseases
299,2018,Others,level 4 musculoskeletal procedures,3594.0,1812461.579648567,Other Diseases
300,2018,Others,level 4 neurostimulator and related procedures,168.0,1093101.373595285,Other Diseases
301,2018,Others,level 4 pacemaker and similar procedures,30.0,230363.47247899,Respiratory
302,2018,Others,level 4 urology and related services,1043.0,568336.248287727,Other Diseases
303,2018,Others,level 5 airway endoscopy,273.0,469830.5445169546,Respiratory
304,2018,Others,level 5 ent procedures,683.0,738205.9198816033,Other Diseases
305,2018,Others,level 5 gynecologic procedures,191.0,342593.8557140991,Other Diseases
306,2018,Others,level 5 musculoskeletal procedures,2200.0,2434531.466549573,Other Diseases
307,2018,Others,level 5 urology and related services,2115.0,896176.9683984022,Other Diseases
308,2018,Others,level 6 gynecologic procedures,41.0,175887.4391185898,Other Diseases
309,2018,Others,level 6 musculoskeletal procedures,87.0,589246.1890145324,Other Diseases
310,2018,Others,level 6 urology and related services,87.0,163831.5963736263,Other Diseases
311,2018,Others,level 7 radiation therapy,155.0,501469.4223339694,Other Diseases
312,2018,Others,level 7 urology and related services,37.0,207374.5879666661,Other Diseases
313,2018,Others,abdominal/peritoneal/biliary and related procedures,1272.0,326865.31747723615,Other Diseases
314,2018,Others,cochlear implant procedure,18.0,90443.9838888889,Other Diseases
315,2018,Others,complex gi procedures,222.0,137310.5540013324,Other Diseases
316,2018,Others,comprehensive observation services,17950.0,424486.5733066466,Other Diseases
317,2018,Others,implantation of drug infusion device,32.0,86322.01125000001,Other Diseases
318,2018,Others,level 1 breast/lymphatic surgery and related procedures,663.0,292705.8405357679,Other Diseases
319,2018,Others,level 1 endovascular procedures,2608.0,307178.2895319016,Other Diseases
320,2018,Others,level 1 icd and similar procedures,103.0,234480.704613095,Respiratory
321,2018,Others,level 1 intraocular procedures,4928.0,190076.5596874482,Other Diseases
322,2018,Others,level 1 laparoscopy and related services,2038.0,540796.0056579213,Other Diseases
323,2018,Others,level 1 nerve procedures,675.0,178455.2623498783,Other Diseases
324,2018,Others,level 2 breast/lymphatic surgery and related procedures,718.0,528411.93709149,Other Diseases
325,2018,Others,level 2 endovascular procedures,631.0,331379.3498728805,Other Diseases
326,2018,Others,level 2 excision/ biopsy/ incision and drainage,5037.0,216465.02054825344,Other Diseases
327,2018,Others,level 2 icd and similar procedures,313.0,785813.5610351029,Respiratory
328,2018,Others,level 2 intraocular procedures,682.0,182231.0911355962,Other Diseases
329,2018,Others,level 2 laparoscopy and related services,597.0,616689.6536581152,Other Diseases
330,2018,Others,level 2 musculoskeletal procedures,943.0,184219.8919714979,Other Diseases
331,2018,Others,level 2 neurostimulator and related procedures,48.0,57295.1325586296,Other Diseases
332,2018,Others,level 2 pacemaker and similar procedures,366.0,314797.4060569306,Respiratory
333,2018,Others,level 2 upper gi procedures,2128.0,182070.23515326268,Other Diseases
334,2018,Others,level 3 airway endoscopy,160.0,73586.52250903103,Other Diseases
335,2018,Others,level 3 electrophysiologic procedures,411.0,643077.0917311506,Respiratory
336,2018,Others,level 3 endovascular procedures,1270.0,668652.1967589577,Other Diseases
337,2018,Others,level 3 excision/ biopsy/ incision and drainage,624.0,249703.5983228618,Other Diseases
